Timestamp,Interface,Upload Speed (Mbps),Download Speed (Mbps)
2024-07-02 16:47:42,Wi-Fi,0.00,0.00
2024-07-02 16:47:43,Wi-Fi,0.00,0.00
2024-07-02 16:47:44,Wi-Fi,0.06,1.05
2024-07-02 16:47:45,Wi-Fi,0.06,2.32
2024-07-02 16:47:46,Wi-Fi,0.04,3.36
2024-07-02 16:47:47,Wi-Fi,0.00,0.18
2024-07-02 16:47:48,Wi-Fi,0.00,0.00
2024-07-02 16:48:34,Wi-Fi,0.01,0.01
2024-07-02 16:48:35,Wi-Fi,0.01,0.53
2024-07-02 16:48:36,Wi-Fi,0.13,2.71
2024-07-02 16:48:37,Wi-Fi,0.16,2.72
2024-07-02 16:48:38,Wi-Fi,0.06,1.09
2024-07-02 16:48:39,Wi-Fi,0.00,0.00
2024-07-02 16:49:27,Wi-Fi,0.00,0.00
2024-07-02 16:49:28,Wi-Fi,0.01,0.51
2024-07-02 16:49:29,Wi-Fi,0.04,0.72
2024-07-02 16:49:30,Wi-Fi,0.01,0.00
2024-07-02 16:49:47,Wi-Fi,0.00,0.00
2024-07-02 16:49:48,Wi-Fi,0.00,0.00
2024-07-02 16:49:49,Wi-Fi,0.08,2.33
2024-07-02 16:49:50,Wi-Fi,0.15,2.68
2024-07-02 16:49:51,Wi-Fi,0.08,2.36
2024-07-02 16:49:52,Wi-Fi,0.00,0.00
2024-07-02 16:50:34,Wi-Fi,0.00,0.00
2024-07-02 16:50:35,Wi-Fi,0.02,0.62
2024-07-02 16:50:36,Wi-Fi,0.26,2.82
2024-07-02 16:50:37,Wi-Fi,0.21,3.20
2024-07-02 16:50:38,Wi-Fi,0.08,1.78
2024-07-02 16:50:39,Wi-Fi,0.00,0.00
2024-07-02 16:51:15,Wi-Fi,0.00,0.01
2024-07-02 16:51:16,Wi-Fi,0.01,0.19
2024-07-02 16:51:17,Wi-Fi,0.18,3.25
2024-07-02 16:51:18,Wi-Fi,0.20,3.91
2024-07-02 16:51:19,Wi-Fi,0.08,3.07
2024-07-02 16:51:20,Wi-Fi,0.01,0.01
2024-07-02 16:52:18,Wi-Fi,0.00,0.00
2024-07-02 16:52:19,Wi-Fi,0.04,1.26
2024-07-02 16:52:20,Wi-Fi,0.13,3.48
2024-07-02 16:52:21,Wi-Fi,0.07,0.96
2024-07-02 16:52:22,Wi-Fi,0.04,0.36
2024-07-02 16:52:23,Wi-Fi,0.10,0.48
2024-07-02 16:52:24,Wi-Fi,0.04,0.76
2024-07-02 16:52:25,Wi-Fi,0.03,0.53
2024-07-02 16:52:26,Wi-Fi,0.03,0.50
2024-07-02 16:52:27,Wi-Fi,0.02,0.48
2024-07-02 16:52:28,Wi-Fi,0.00,0.00
2024-07-02 16:53:25,Wi-Fi,0.00,0.00
2024-07-02 16:53:26,Wi-Fi,0.02,0.95
2024-07-02 16:53:27,Wi-Fi,0.20,3.12
2024-07-02 16:53:28,Wi-Fi,0.18,2.97
2024-07-02 16:53:29,Wi-Fi,0.05,0.57
2024-07-02 16:53:30,Wi-Fi,0.03,0.47
2024-07-02 16:53:31,Wi-Fi,0.01,0.40
2024-07-02 16:53:32,Wi-Fi,0.00,0.00
2024-07-02 16:54:23,Wi-Fi,0.02,0.01
2024-07-02 16:54:24,Wi-Fi,0.03,0.85
2024-07-02 16:54:25,Wi-Fi,0.04,0.46
2024-07-02 16:54:26,Wi-Fi,0.05,0.54
2024-07-02 16:54:27,Wi-Fi,0.02,1.20
2024-07-02 16:54:28,Wi-Fi,0.09,4.06
2024-07-02 16:54:29,Wi-Fi,0.00,0.00
2024-07-02 16:55:03,Wi-Fi,0.00,0.00
2024-07-02 16:55:04,Wi-Fi,0.04,1.02
2024-07-02 16:55:05,Wi-Fi,0.10,2.69
2024-07-02 16:55:06,Wi-Fi,0.28,3.28
2024-07-02 16:55:07,Wi-Fi,0.20,1.05
2024-07-02 16:55:41,Wi-Fi,0.00,0.01
2024-07-02 16:55:42,Wi-Fi,0.08,1.17
2024-07-02 16:55:43,Wi-Fi,0.18,3.07
2024-07-02 16:55:44,Wi-Fi,0.14,3.25
2024-07-02 16:55:45,Wi-Fi,0.07,0.93
